Date,Open,High,Low,Close,Shares Traded,Turnover,MA13,PriceCrossover,PriceCrossoverSwitch,Target Close,VolumeMA7,VolumeDif,Target Close Percent,Last Week Gain,Last Week Gain Acceleration,Volatility7,Y Last Week Gain,GainFORCALC,LossFORCALC,Gain,Loss,Average Gain,Average Loss,RSI7,RSI7LOW,RSI7HIGH,Trend,PriceVolume,MA7PriceVolume,Month,GoldPRICE,GOLDUPDOWN,OilPRICE,OilUPDOWN,GOLDOILUPDOWN,InterestRate,IntersetRateOpen,InterestRateHigh,InterestRateLow,InterestRateChange,InterestChangeUpdown,AllUpdown
12/07/18,11006.95,11078.3,10999.65,11023.2,256034815,15787.28,10761.825,261.375,0,11084.75,213294241.9,42740573.14,0.56,323.3,445.25,159.4985132,-121.95,74.9,-74.9,74.9,0,49.06428571,2.878571429,92.67404209,0,1,847.25,4160565744,3286868387,Jul,30147,-1,4844,-1,-2,7.78,7.826,7.842,7.778,-0.0117,-1,-3
13/07/18,11056.9,11071.35,10999.75,11018.9,241670818,14744.56,10782.99583,235.9041667,0,11134.3,220103280.4,21567537.57,1.05,249,241.55,140.1838996,7.45,-4.3,4.3,0,4.3,39.06428571,3.492857143,89.68514267,0,1,863.3,-9183491084,568965649.1,Jul,30080,-1,4827,-1,-2,7.791,7.791,7.802,7.77,0.0014,1,-1
16/07/18,11018.95,11019.5,10926.25,10936.85,216971413,13709.57,10811.95417,124.8958333,0,11132,229017930,-12046517,1.78,187.1,206.5,121.5717577,-19.4,-82.05,82.05,0,82.05,39.06428571,12.33571429,74.55016358,0,0,759.4,-17813353007,-797256425,Jul,30172,-1,4858,1,0,7.8,7.82,7.848,7.797,0.0012,1,1
17/07/18,10939.65,11018.5,10925.6,11008.05,217107580,12649.4,10840.93333,167.1166667,0,11167.3,227547106.7,-10439526.71,1.45,235.4,134.15,73.19420921,101.25,71.2,-71.2,71.2,0,45.96428571,12.33571429,77.51144303,0,0,671.5,14850158472,279679125.2,Jul,30044,1,4668,-1,0,7.746,7.763,7.764,7.729,-0.0069,-1,-1
18/07/18,11060.2,11076.2,10956.3,10980.45,232502459,13320.2,10865.4125,115.0375,0,11278.35,221912803,10589656,2.71,127.55,-136.25,43.88288391,263.8,-27.6,27.6,0,27.6,34.5,16.27857143,66.62987998,0,0,550.05,-18542071105,-2764078580,Jul,29729,-1,4650,-1,-2,7.752,7.725,7.759,7.723,0.0008,1,-1
19/07/18,10999.5,11006.5,10935.45,10957.1,222056399,12199.98,10892.34167,64.75833333,0,11319.55,228080152,-6023753,3.31,9.85,-223.1,64.51475745,232.95,-23.35,23.35,0,23.35,21.02142857,19.61428571,50.48893464,0,0,372.8,-9415191318,-5399999927,Jul,29742,-1,4715,1,0,7.785,7.782,7.785,7.764,0.0043,1,1
20/07/18,10963.5,11030.25,10946.2,11010.2,193144113,14105.94,10913.775,96.425,0,11356.5,230793640.4,-37649527.43,3.15,61.9,-229.1,106.9529441,291,53.1,-53.1,53.1,0,28.45714286,19.61428571,57.99126638,0,0,199.3,9019830077,-3846221746,Jul,29849,1,4781,1,2,7.785,7.787,7.797,7.772,0,-1,1
23/07/18,11019.85,11093.4,11010.95,11084.75,236153085,14932.51,10933.8,150.95,0,11346.2,225641085.3,10511999.71,2.36,61.55,-261.75,110.6380688,323.3,74.55,-74.55,74.55,0,28.40714286,19.61428571,57.94841906,0,0,133.3,15326335216,-2251111821,Jul,29948,1,4699,-1,0,7.81,7.788,7.819,7.774,0.0032,1,1
24/07/18,11109,11143.4,11092.5,11134.3,212247395,13931.15,10961.71667,172.5833333,0,11244.7,222800838.1,-10553443.14,0.99,115.4,-133.6,93.29545107,249,49.55,-49.55,49.55,0,35.48571429,19,63.95468589,0,0,238.85,5369859093,-172061795.9,Jul,29897,1,4664,-1,0,7.784,7.806,7.815,7.778,-0.0033,-1,-1
25/07/18,11148.4,11157.15,11113.25,11132,212333169,12528.8,10991.85417,140.1458333,0,11360.8,218597492,-6264323,2.06,195.15,8.05,78.08082046,187.1,-2.3,2.3,0,2.3,35.48571429,7.607142857,80.47950753,0,1,372.1,-3482263972,1875236638,Jul,29904,1,4732,1,2,7.785,7.807,7.811,7.782,0.0001,1,3
