Date,Price,Open,High,Low,Change %,,,,
"May 26, 2017",6.79,6.79,6.79,6.79,0.00%,May,2017,26,
"May 25, 2017",6.79,6.79,6.79,6.79,-0.18%,May,2017,25,
"May 24, 2017",6.802,6.802,6.802,6.802,0.13%,May,2017,24,
"May 23, 2017",6.793,6.793,6.793,6.793,0.30%,May,2017,23,
"May 22, 2017",6.773,6.773,6.773,6.773,-1.25%,May,2017,22,
"May 19, 2017",6.859,6.859,6.859,6.859,0.23%,May,2017,19,
"May 18, 2017",6.843,6.843,6.843,6.843,-0.01%,May,2017,18,
"May 17, 2017",6.844,6.844,6.844,6.844,0.07%,May,2017,17,
"May 16, 2017",6.839,6.839,6.839,6.839,0.46%,May,2017,16,
"May 15, 2017",6.808,6.808,6.808,6.808,-1.48%,May,2017,15,
"May 12, 2017",6.91,6.91,6.91,6.91,-0.48%,May,2017,12,
"May 11, 2017",6.943,6.943,6.943,6.943,0.00%,May,2017,11,
"May 09, 2017",6.943,6.943,6.943,6.943,0.19%,May,2017,09,
"May 08, 2017",6.93,6.93,6.93,6.93,-0.19%,May,2017,08,
"May 07, 2017",6.943,6.943,6.943,6.943,0.00%,May,2017,07,
"May 05, 2017",6.943,6.943,6.943,6.943,-0.40%,May,2017,05,
"May 04, 2017",6.971,6.971,6.971,6.971,0.23%,May,2017,04,
"May 03, 2017",6.955,6.955,6.955,6.955,-0.53%,May,2017,03,
"May 02, 2017",6.992,6.992,6.992,6.992,0.40%,May,2017,02,
"Apr 28, 2017",6.964,6.964,6.964,6.964,0.27%,Apr,2017,28,
"Apr 27, 2017",6.945,6.945,6.945,6.945,-0.12%,Apr,2017,27,
"Apr 26, 2017",6.953,6.953,6.953,6.953,0.25%,Apr,2017,26,
"Apr 25, 2017",6.936,6.936,6.936,6.936,-0.10%,Apr,2017,25,
"Apr 24, 2017",6.943,6.943,6.943,6.943,0.29%,Apr,2017,24,
"Apr 22, 2017",6.923,6.923,6.923,6.923,0.00%,Apr,2017,22,
"Apr 21, 2017",6.923,6.923,6.923,6.923,0.65%,Apr,2017,21,
"Apr 20, 2017",6.878,6.878,6.878,6.878,0.35%,Apr,2017,20,
"Apr 19, 2017",6.854,6.854,6.854,6.854,-0.12%,Apr,2017,19,
"Apr 18, 2017",6.862,6.862,6.862,6.862,0.22%,Apr,2017,18,
"Apr 17, 2017",6.847,6.847,6.847,6.847,0.40%,Apr,2017,17,
"Apr 13, 2017",6.82,6.82,6.82,6.82,0.56%,Apr,2017,13,
"Apr 12, 2017",6.782,6.782,6.782,6.782,-0.38%,Apr,2017,12,
"Apr 11, 2017",6.808,6.808,6.808,6.808,-0.83%,Apr,2017,11,
"Apr 10, 2017",6.865,6.865,6.865,6.865,0.65%,Apr,2017,10,
"Apr 07, 2017",6.821,6.821,6.821,6.821,0.78%,Apr,2017,07,
"Apr 06, 2017",6.768,6.768,6.768,6.768,1.71%,Apr,2017,06,
"Apr 05, 2017",6.654,6.654,6.654,6.654,0.00%,Apr,2017,05,
"Apr 03, 2017",6.654,6.654,6.654,6.654,-0.60%,Apr,2017,03,
"Mar 31, 2017",6.694,6.694,6.694,6.694,0.09%,Mar,2017,31,
"Mar 30, 2017",6.688,6.688,6.688,6.688,-0.90%,Mar,2017,30,
"Mar 29, 2017",6.749,6.749,6.749,6.749,0.57%,Mar,2017,29,
"Mar 27, 2017",6.711,6.711,6.711,6.711,-1.76%,Mar,2017,27,
"Mar 26, 2017",6.831,6.831,6.831,6.831,0.00%,Mar,2017,26,
"Mar 24, 2017",6.831,6.831,6.831,6.831,0.06%,Mar,2017,24,
"Mar 23, 2017",6.827,6.827,6.827,6.827,0.19%,Mar,2017,23,
"Mar 22, 2017",6.814,6.814,6.814,6.814,-1.05%,Mar,2017,22,
"Mar 21, 2017",6.886,6.886,6.886,6.886,-0.12%,Mar,2017,21,
"Mar 20, 2017",6.894,6.894,6.894,6.894,0.51%,Mar,2017,20,
"Mar 18, 2017",6.859,6.859,6.859,6.859,0.00%,Mar,2017,18,
"Mar 17, 2017",6.859,6.859,6.859,6.859,0.23%,Mar,2017,17,
"Mar 16, 2017",6.843,6.843,6.843,6.843,0.21%,Mar,2017,16,
"Mar 15, 2017",6.829,6.829,6.829,6.829,-1.10%,Mar,2017,15,
"Mar 14, 2017",6.905,6.905,6.905,6.905,0.03%,Mar,2017,14,
"Mar 10, 2017",6.903,6.903,6.903,6.903,0.61%,Mar,2017,10,
"Mar 09, 2017",6.861,6.861,6.861,6.861,0.00%,Mar,2017,09,
"Mar 08, 2017",6.861,6.861,6.861,6.861,0.40%,Mar,2017,08,
"Mar 07, 2017",6.834,6.834,6.834,6.834,-0.48%,Mar,2017,07,
"Mar 06, 2017",6.867,6.867,6.867,6.867,1.30%,Mar,2017,06,
"Mar 03, 2017",6.779,6.779,6.779,6.779,-0.92%,Mar,2017,03,
"Mar 02, 2017",6.842,6.842,6.842,6.842,-1.28%,Mar,2017,02,
"Mar 01, 2017",6.931,6.931,6.931,6.931,0.87%,Mar,2017,01,
"Feb 28, 2017",6.871,6.871,6.871,6.871,-0.15%,Feb,2017,28,
"Feb 27, 2017",6.881,6.881,6.881,6.881,-0.49%,Feb,2017,27,
"Feb 23, 2017",6.915,6.915,6.915,6.915,-0.39%,Feb,2017,23,
"Feb 22, 2017",6.942,6.942,6.942,6.942,0.56%,Feb,2017,22,
"Feb 20, 2017",6.903,6.903,6.903,6.903,0.76%,Feb,2017,20,
"Feb 17, 2017",6.851,6.851,6.851,6.851,0.09%,Feb,2017,17,
"Feb 16, 2017",6.845,6.845,6.845,6.845,-0.25%,Feb,2017,16,
"Feb 15, 2017",6.862,6.862,6.862,6.862,-0.17%,Feb,2017,15,
"Feb 14, 2017",6.874,6.874,6.874,6.874,0.67%,Feb,2017,14,
"Feb 13, 2017",6.828,6.828,6.828,6.828,0.34%,Feb,2017,13,
"Feb 10, 2017",6.805,6.805,6.805,6.805,-0.76%,Feb,2017,10,
"Feb 09, 2017",6.857,6.857,6.857,6.857,1.57%,Feb,2017,09,
"Feb 08, 2017",6.751,6.751,6.751,6.751,4.98%,Feb,2017,08,
"Feb 07, 2017",6.431,6.431,6.431,6.431,0.28%,Feb,2017,07,
"Feb 06, 2017",6.413,6.413,6.413,6.413,0.05%,Feb,2017,06,
"Feb 03, 2017",6.41,6.41,6.41,6.41,0.12%,Feb,2017,03,
"Feb 02, 2017",6.402,6.402,6.402,6.402,-0.45%,Feb,2017,02,
"Feb 01, 2017",6.431,6.431,6.431,6.431,0.34%,Feb,2017,01,
"Jan 31, 2017",6.409,6.409,6.409,6.409,0.06%,Jan,2017,31,
"Jan 30, 2017",6.405,6.405,6.405,6.405,0.05%,Jan,2017,30,
"Jan 27, 2017",6.402,6.402,6.402,6.402,-0.39%,Jan,2017,27,
"Jan 25, 2017",6.427,6.427,6.427,6.427,-0.12%,Jan,2017,25,
"Jan 24, 2017",6.435,6.435,6.435,6.435,-0.26%,Jan,2017,24,
"Jan 23, 2017",6.452,6.452,6.452,6.452,-0.22%,Jan,2017,23,
"Jan 20, 2017",6.466,6.466,6.466,6.466,-0.15%,Jan,2017,20,
"Jan 19, 2017",6.476,6.476,6.476,6.476,0.34%,Jan,2017,19,
"Jan 18, 2017",6.454,6.454,6.454,6.454,0.50%,Jan,2017,18,
"Jan 17, 2017",6.422,6.422,6.422,6.422,-0.26%,Jan,2017,17,
"Jan 16, 2017",6.439,6.439,6.439,6.439,0.34%,Jan,2017,16,
"Jan 13, 2017",6.417,6.417,6.417,6.417,0.71%,Jan,2017,13,
"Jan 12, 2017",6.372,6.372,6.372,6.372,-0.34%,Jan,2017,12,
"Jan 11, 2017",6.394,6.394,6.394,6.394,-0.06%,Jan,2017,11,
"Jan 10, 2017",6.398,6.398,6.398,6.398,0.02%,Jan,2017,10,
"Jan 09, 2017",6.397,6.397,6.397,6.397,0.16%,Jan,2017,09,
"Jan 06, 2017",6.387,6.387,6.387,6.387,0.02%,Jan,2017,06,
"Jan 05, 2017",6.386,6.386,6.386,6.386,0.33%,Jan,2017,05,
"Jan 04, 2017",6.365,6.365,6.365,6.365,-1.24%,Jan,2017,04,
"Jan 03, 2017",6.445,6.445,6.445,6.445,0.61%,Jan,2017,03,
"Jan 02, 2017",6.406,6.406,6.406,6.406,-1.69%,Jan,2017,02,
"Dec 30, 2016",6.516,6.516,6.516,6.516,-0.11%,Dec,2016,30,
"Dec 29, 2016",6.523,6.523,6.523,6.523,-0.94%,Dec,2016,29,
"Dec 28, 2016",6.585,6.585,6.585,6.585,-0.09%,Dec,2016,28,
"Dec 27, 2016",6.591,6.591,6.591,6.591,0.26%,Dec,2016,27,
"Dec 26, 2016",6.574,6.574,6.574,6.574,0.46%,Dec,2016,26,
"Dec 23, 2016",6.544,6.544,6.544,6.544,0.43%,Dec,2016,23,
